                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2181,                0.58789,                 1.1322,                0.88064,                0.79394,                0.85687,                0.50551,                 1.6074,                 0.7774,                 1.4139,             0.00061887,             0.00061887,             0.00061887
                     53,                  1.222,                0.58823,                 1.1278,                0.87152,                0.80587,                0.86563,                0.52112,                   1.58,                 0.7716,                 1.4049,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.2115,                0.58663,                 1.1269,                 0.8819,                0.78688,                0.86352,                 0.5071,                  1.602,                0.77161,                 1.4009,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.2088,                0.57797,                 1.1281,                 0.8781,                0.79824,                0.86863,                0.50433,                 1.5987,                0.78098,                 1.4078,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.1995,                0.57643,                  1.121,                0.85078,                0.79434,                0.86031,                0.51058,                 1.6152,                0.77793,                 1.4205,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.1921,                0.57131,                 1.1151,                0.91034,                0.74777,                0.86561,                0.50566,                 1.6226,                0.78714,                 1.4252,               0.000557,               0.000557,               0.000557
                     58,                 1.1808,                0.56664,                 1.1073,                0.90086,                0.75478,                0.86039,                0.50659,                    1.6,                  0.774,                 1.4015,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.1796,                0.56926,                 1.1057,                0.86513,                0.79979,                0.86766,                0.50676,                 1.6013,                0.79878,                 1.4042,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.1677,                0.55779,                 1.1024,                0.92764,                0.76291,                0.86377,                0.51504,                 1.6026,                0.79271,                 1.4033,             0.00051988,             0.00051988,             0.00051988
                     61,                  1.153,                0.55068,                 1.0973,                0.85739,                0.80213,                0.86443,                0.51095,                 1.6114,                0.79193,                 1.4202,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.1568,                 0.5476,                  1.099,                0.89824,                0.77236,                0.86973,                0.51505,                 1.6053,                0.77527,                 1.4222,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.1422,                0.54165,                 1.0947,                0.89703,                0.78069,                 0.8698,                0.50643,                 1.6054,                 0.7681,                 1.4169,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.1527,                0.54912,                 1.0952,                0.85817,                0.81084,                0.86024,                0.49757,                 1.6451,                0.78253,                 1.4349,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.1483,                0.54726,                 1.0977,                0.91475,                0.76593,                0.86757,                0.51113,                 1.6099,                0.77044,                 1.4206,               0.000458,               0.000458,               0.000458
                     66,                 1.1357,                0.53568,                 1.0866,                0.88217,                0.78806,                0.85943,                0.50802,                  1.619,                 0.8001,                 1.4335,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.1306,                 0.5395,                 1.0838,                0.89413,                0.78423,                0.85305,                0.50961,                 1.6024,                0.80056,                 1.4079,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.1186,                0.53066,                 1.0777,                0.89727,                0.79449,                0.87558,                0.51044,                 1.6116,                0.75801,                 1.4352,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.1127,                0.52427,                 1.0775,                0.88988,                0.78723,                0.86223,                 0.5133,                 1.6035,                0.77105,                 1.4254,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.1016,                0.52812,                 1.0739,                0.89142,                0.78834,                0.86525,                 0.5129,                 1.6083,                0.82989,                 1.4276,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.0919,                0.51892,                   1.07,                0.90769,                0.77969,                0.85913,                0.51203,                 1.5961,                0.79487,                 1.4155,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0926,                0.51618,                 1.0666,                0.92005,                0.78022,                0.86644,                 0.5133,                 1.5802,                0.75615,                  1.407,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.0789,                0.50629,                 1.0571,                0.92381,                0.77194,                0.86935,                0.52094,                 1.6058,                0.77972,                 1.4072,               0.000359,               0.000359,               0.000359
